Date,Company,Category,Victim website,Victim country,Group,Ransom demand,Exfiltrated data amount,Exfiltrated data type:,Leaked data:,Ransom deadline:
26-02-2023,INDIKA ENERGY GLOBAL,Energy,indikaenergy.co.id,Indonesia,BlackCat,N/A,"69,76 GB","Corporate data (financial statements, employee data, partner network accesses",/,N/A
26-02-2023,INPRO,Wholesale Building Materials,inpro-electric.de,Germany,Play,N/A,360 GB,"Private and personal confidential data, a lot of technical documentation, IDs,",8 GB including 50 passports,N/A
26-02-2023,IL &FS,Construction,ilfsindia.com,India,LockBit3.0,"$ 299,000",N/A,"Contracts, personal data, passports, postal correspondence, financial",/,09th Mar 23
26-02-2023,COTTEE PARKER,Architecture and Planning,cotteeparker.com.au,Australia,LockBit3.0,"$ 499,000",N/A,"Postal correspondence, contracts. Confidential and non-disclosure agreements.",Sample with screenshots of miscellaneous documents,09th Mar 23
26-02-2023,iSPACE,Information Technology & Services,ispace.com,USA,LockBit3.0,N/A,100 GB,"Miscellaneous, confidential and PII documents","Sample with screenshots of miscellaneous, confidential and PII documents",08th Mar 23
26-02-2023,G &G ELECTRONICS,Computers and Electronics Manufacturing,ggelectronics.com,USA,BianLian,N/A,320 GB,"Marketing content, HR, business data, accounting data",100% of the exfiltrated data,N/A
26-02-2023,THINK WELTY,Construction,thinkwelty.com,USA,BlackCat,N/A,"1,7 TB",Personal and corporate data,/,N/A
26-02-2023,HAK GRAZBACHGASSE,Unknown,hak-graz.at,Austria,BianLian,N/A,331 GB,Miscellaneous documents,100% of the exfiltrated data,N/A
26-02-2023,ADVANCE2000,IT/Technology,advance2000.com,USA,BianLian,N/A,80 GB,"SQL databases, client?s data: adresses, phone numbers, emails, birth dates,",Sample with screenshots of miscellaneous documents,100% of the exfiltrated data
26-02-2023,ANXA,Wellness Solutions,anxa.com,France,BianLian,N/A,60 GB,"Client?s data: full names, addresses, emails, birth dates, etc., finance,",100% of the exfiltrated data,N/A
26-02-2023,THOMPSON SAFETY,Facilities Services,thompson-safety.com,USA,BianLian,N/A,130 GB,"HR, business, employee data, finance.",100% of the exfiltrated data,N/A
26-02-2023,DELAWARE LIFE,Insurance,delawarelife.com,USA,LockBit3.0,N/A,N/A,N/A,/,N/A
26-02-2023,SCHWARTZ HAUTMONT PORT SHOP,Oil and Gas,shcm.es,Spain,Royal,N/A,N/A,N/A,/,N/A
